Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
127,Sherman,0.0,93.3,2.65,1.95,1.3,52.65,12.3,474150.0,114540.0,0.506,90.4,9.6,84.55,27.45,3.0,273.025,6.212,266.825,1.189
128,Simsbury,2.7,85.6,5.65,3.55,1.75,44.4,11.135,334800.0,121092.0,0.446,85.55,14.45,87.55,22.15,2.45,711.325,24.05,687.3,9.87
129,Somers,6.4,82.8,6.5,1.75,1.0,43.85,14.68,313350.0,100955.0,0.403,92.15,7.85,83.35,26.3,4.0,518.9,76.4,442.475,7.141
130,South Windsor,4.05,76.7,5.4,11.75,1.8,43.15,14.33,283400.0,108680.5,0.409,88.75,11.25,86.95,24.95,1.65,1515.075,41.825,1473.238,22.407
131,Southbury,1.65,89.0,4.5,3.15,1.55,50.55,15.065,319600.0,93093.0,0.435,88.05,11.95,82.5,36.9,2.2,919.0,37.088,881.912,6.94
132,Southington,1.45,90.65,4.1,2.65,1.05,45.2,16.59,278600.0,91901.0,0.403,87.2,12.8,82.65,28.3,3.15,1966.112,74.113,1891.975,24.63
133,Sprague,2.1,86.0,5.1,1.15,4.8,41.7,22.065,213950.0,68526.0,0.385,87.8,12.2,67.95,42.05,4.85,890.775,139.838,750.95,9.591
134,Stafford,0.35,92.35,4.0,1.3,1.95,43.15,26.695,195200.0,72458.5,0.404,93.6,6.4,72.15,34.35,5.65,603.812,72.475,531.338,17.256
135,Stamford,13.45,49.35,26.5,8.65,1.65,36.9,25.31,521400.0,88122.0,0.515,79.05,20.95,67.75,28.7,12.6,1881.062,270.062,1611.025,30.949
136,Sterling,2.65,91.3,2.5,0.65,1.8,39.35,26.155,210100.0,78431.5,0.339,94.95,5.05,71.2,35.45,4.9,881.037,65.175,815.863,4.516
137,Stonington,1.25,89.05,3.65,2.0,3.9,49.15,21.39,345250.0,85322.0,0.469,81.0,19.0,79.4,34.4,3.7,1670.588,70.275,1600.312,8.804
138,Stratford,16.75,61.4,16.9,2.6,1.7,43.6,27.32,259000.0,74586.0,0.424,87.2,12.8,73.0,35.55,5.45,2696.225,185.85,2510.375,25.239
139,Suffield,9.0,78.8,6.95,2.7,2.35,42.4,16.645,315500.0,105322.5,0.431,87.55,12.45,85.85,24.45,2.6,784.075,29.8,754.275,6.614
140,Thomaston,0.45,90.75,5.7,1.6,1.45,43.3,19.445,215450.0,69115.0,0.381,95.45,4.55,80.15,28.4,3.65,1565.088,66.45,1498.625,13.564
141,Thompson,0.15,94.8,2.6,0.5,1.75,46.0,18.55,208900.0,72546.0,0.392,82.65,17.35,77.45,33.75,3.25,724.85,69.55,655.312,8.521
142,Tolland,0.6,91.75,3.65,2.2,1.75,43.45,11.1,288850.0,114480.0,0.397,94.05,5.95,87.8,22.7,1.2,511.588,30.55,481.05,6.513
143,Torrington,2.45,83.85,9.05,2.8,1.7,45.1,28.515,160750.0,58463.0,0.412,89.15,10.85,65.4,40.95,7.5,2106.288,144.025,1962.275,32.111
144,Trumbull,3.4,80.05,8.65,5.4,1.75,42.8,14.43,398200.0,120275.5,0.409,86.7,13.3,84.45,26.35,2.8,2045.75,77.0,1968.75,10.809
145,Union,0.15,94.5,2.5,1.6,0.9,50.0,9.045,276000.0,88488.0,0.354,84.8,15.2,86.15,30.5,3.9,601.162,0.0,601.162,35.121
146,Vernon,6.15,76.9,9.15,4.4,2.9,38.45,28.685,208800.0,63726.5,0.415,88.8,11.2,71.8,36.05,5.9,1198.612,107.45,1091.162,39.466
147,Voluntown,0.0,91.25,3.15,0.55,4.7,46.05,22.3,237700.0,80297.5,0.354,89.25,10.75,78.2,28.1,6.1,681.15,56.412,624.762,3.857
148,Wallingford,1.5,82.05,10.15,4.8,1.2,44.95,20.16,268900.0,78557.0,0.404,86.95,13.05,80.65,28.6,3.85,1631.2,55.488,1575.712,29.139
149,Warren,0.6,88.35,4.95,4.75,1.3,49.0,15.35,374250.0,106370.0,0.48,67.4,32.6,80.25,31.85,3.3,529.838,9.488,520.35,2.817
